"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"201635368","1/17/2016 12:00:00 AM","1/1/1900 12:00:00 AM","1/17/2016 12:00:00 AM","2426 S FEDERAL BLVD                               ","3133762.00","1670216.00","4","422","2307    ","BURGLARY - VENDING MACHINE","Larceny","INDUSTRY","","","",""
"201635368","1/17/2016 12:00:00 AM","1/1/1900 12:00:00 AM","1/17/2016 12:00:00 AM","2426 S FEDERAL BLVD                               ","3133762.00","1670216.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016358601","6/8/2016 12:00:00 AM","1/1/1900 12:00:00 AM","6/8/2016 12:00:00 AM","909 N LAFAYETTE ST                                ","3148795.00","1691473.00","6","622","1316","THREATS TO INJURE","All Other Crimes","NON-INDUSTRY","","","",""
"2016360323","6/9/2016 12:00:00 AM","6/9/2016 12:00:00 AM","6/9/2016 12:00:00 AM","380 N QUIVAS ST                                   ","3138697.00","1688328.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016364813","6/10/2016 12:00:00 AM","6/10/2016 12:00:00 AM","6/10/2016 12:00:00 AM","4495 N WASHINGTON ST                              ","3146216.00","1708700.00","1","112","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2016365429","6/11/2016 12:00:00 AM","6/11/2016 12:00:00 AM","6/11/2016 12:00:00 AM","688 N BRYANT ST                                   ","3135476.00","1690167.00","1","122","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016368338","6/12/2016 12:00:00 AM","6/12/2016 12:00:00 AM","6/12/2016 12:00:00 AM","1955 S QUINCE ST                                  ","3168493.00","1673457.00","3","322","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016371417","6/13/2016 12:00:00 AM","6/13/2016 12:00:00 AM","6/13/2016 12:00:00 AM","1341 S HUMBOLDT ST                                ","3149083.00","1677421.00","3","312","2204    ","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","","","",""
"2016373057","6/14/2016 12:00:00 AM","6/14/2016 12:00:00 AM","6/14/2016 12:00:00 AM","445 N FEDERAL BLVD                                ","3133474.00","1688828.00","4","411","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016374732","6/15/2016 12:00:00 AM","6/15/2016 12:00:00 AM","6/15/2016 12:00:00 AM","1955 S QUINCE ST                                  ","3168493.00","1673457.00","3","322","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016378931","6/16/2016 12:00:00 AM","6/16/2016 12:00:00 AM","6/16/2016 12:00:00 AM","1550 N BROADWAY ST                                ","3144340.00","1695281.00","6","621","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2016384509","6/19/2016 12:00:00 AM","6/19/2016 12:00:00 AM","6/19/2016 12:00:00 AM","1100 N YUMA CT                                    ","3136556.00","1692610.00","1","123","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016385249","6/19/2016 12:00:00 AM","1/1/1900 12:00:00 AM","6/19/2016 12:00:00 AM","1705 N FEDERAL BLVD                               ","3133375.00","1696309.00","1","121","1202    ","ROBBERY - BUSINESS","Robbery-Business","INDUSTRY","","","",""
